,Hoax Words,Frequency
1385,canda,6
1386,candidate,1
1387,candrabhaga,1
1388,candu,1
1389,canggih,2
1390,cangkeme,2
1391,cangkruk,1
1392,cannes,1
1393,cantik,2
1394,cantika,3
1395,cantum,1
1396,cap,3
1397,capacity,2
1398,capai,3
1399,capim,5
1400,capimnya,1
1401,capital,1
1402,capjay,2
1403,caplok,1
1404,capres,32
1405,caps,1
1406,cara,1
1407,carbopol,1
1408,card,1
1409,care,6
1410,carefour,1
1411,cari,22
1412,carlton,1
1413,carrefour,1
1414,casenya,1
1415,cases,3
1416,cashless,3
1417,casugay,1
1418,catat,47
1419,catering,4
1420,catet,2
1421,catok,1
1422,catried,1
1423,catut,4
1424,cavanagh,1
1425,cawang,1
1426,cawapres,13
1427,cawapresnya,1
1428,caya,1
1429,ccn,1
1430,ccp,2
1431,cctv,2
1432,cebi,1
1433,cecep,1
1434,cecer,1
1435,cedek,1
1436,cegah,74
1437,cegat,2
1438,cek,14
1439,cekal,2
1440,cekapsemantenmat,1
1441,cekat,2
1442,cekek,1
1443,cekfakta,29
1444,ceko,1
1445,cekrek,2
1446,cela,4
1447,celaaan,1
1448,celaka,8
1449,celcius,1
1450,celebrate,1
1451,celek,1
1452,celia,4
1453,cema,2
1454,cemananya,1
1455,cemar,2
1456,cemas,1
1457,cemburu,2
1458,cemen,4
1459,cemo,1
1460,cenah,1
1461,cendika,1
1462,cengar,1
1463,cengengesan,1
1464,cengir,1
1465,cengkareng,1
1466,center,35
1467,centernya,4
1468,cepaka,1
1469,cepat,9
1470,cepatt,1
1471,cepetan,1
1472,cept,1
1473,cerah,2
1474,cerai,2
1475,cerdas,1
1476,cerita,20
1477,ceritany,1
1478,cermat,1
1479,cermin,4
1480,cerna,1
1481,cetak,10
1482,cetus,1
1483,cfd,3
1484,cgi,2
1485,chaiyut,1
1486,champions,2
1487,changan,1
1488,changers,1
1489,changi,3
1490,channel,2
1491,chant,1
1492,chaos,4
1493,chapter,1
1494,charali,1
1495,charles,1
1496,charta,1
1497,che,1
1498,chechnya,1
1499,check,2
1500,checkin,1
1501,checking,4
1502,cheetah,1
1503,chef,5
1504,chelsea,2
1505,chennai,1
1506,cherly,1
1507,chernobyl,1
1508,chi,1
1509,chic,1
1510,chicken,2
1511,chiki,1
1512,chile,1
1513,chinese,2
1514,chloroquine,1
1515,choax,11
1516,choirul,2
1517,cholil,1
1518,chonburi,1
1519,christchurch,3
1520,christi,1
1521,christian,2
1522,chubby,1
1523,church,1
1524,ciahhhh,1
1525,cianjur,1
1526,cibinong,2
1527,cibir,1
1528,cicak,1
1529,cicil,1
1530,cicip,1
1531,ciduk,3
1532,cieee,1
1533,cieeee,1
1534,cikampek,2
1535,cikopo,1
1536,cil,1
1537,cilacap,1
1538,cilegon,1
1539,cilengsi,1
1540,cileungsi,1
1541,ciliwung,9
1542,cilukbaaaku,1
1543,cimol,1
1544,cin,1
1545,cine,2
1546,cingurwati,1
1547,cino,2
1548,cinta,21
1549,cip,1
1550,cipta,16
1551,cipto,2
1552,cipulir,1
1553,ciputat,1
1554,ciputra,13
1555,cir,1
1556,circle,1
1557,ciruas,2
1558,citarum,1
1559,citilink,1
1560,citizenship,1
1561,citos,1
1562,citra,11
1563,cium,1
1564,civic,1
1565,cl,1
1566,claims,1
1567,class,1
1568,clayton,1
1569,cleaning,3
1570,cleansing,1
1571,clickbait,1
1572,clinton,1
1573,clockwise,1
1574,cloning,1
1575,closing,1
1576,club,2
1577,clue,3
1578,cm,5
1579,cnn,2
1580,cnnindonesia,1
1581,cntohn,1
1582,coba,18
1583,cobain,4
1584,coblos,17
1585,coco,1
1586,cocoklogi,2
1587,cof,1
1588,cofid,1
1589,cokrori,1
1590,colab,1
1591,collaborating,1
1592,collaborations,1
1593,collect,1
1594,colong,8
1595,colorna,1
1596,combat,1
1597,combatan,1
1598,comboran,2
1599,coming,4
1600,commerce,2
1601,communication,1
1602,communist,1
1603,community,3
1604,commuterline,1
1605,comot,1
1606,comp,1
1607,comunication,1
1608,concern,1
1609,concert,4
1610,condet,3
1611,condong,2
1612,condongin,1
1613,conference,10
1614,confess,2
1615,confident,1
1616,confirmed,1
1617,confuzed,1
1618,cong,2
1619,conggor,1
1620,conglomerate,1
1621,congornaa,1
1622,conocophillips,2
1623,conor,1
1624,conservacy,1
1625,contact,4
1626,contacting,1
1627,contest,3
1628,continues,1
1629,contoh,10
1630,contra,1
1631,conversationnya,1
1632,convert,1
1633,convid,1
1634,cooker,1
1635,cookies,1
1636,cooming,1
1637,coon,1
1638,cooper,1
1639,copot,2
1640,corat,1
1641,corn,1
1642,corner,2
1643,coron,5
1644,corona,767
1645,coronalah,1
1646,coronan,1
1647,coronany,1
1648,coronanya,2
1649,coronavirus,8
1650,corpus,1
