kata tidak baku,kata baku
bener,benar
berbondon,berbondong
jagat,jaga
nglirik,lirik
liyat,lihat
liat,lihat
skali,sekali
gaberner,gubernur
rendem,rendam
ayom,tenang
rating,nilai
kapok,jera
kerjain,kerja
nggilani,jorok
kesalaha,kesalahan
dpt,dapat
panteslah,pantas
nyindir,sindir
dibooongi,bohong
ngustad,ustad
teban,tebang
ngebahasnya,bahas
cobtoh,contoh
bgaimana,bagaimana
sibuj,sibuk
nyari,cari
diskus,diskusi
abersama,bersama
jmput,jemput
klakuan,kelakuan
teken,tekan
class,kelas
mater,materi
ngaku,akui
preside,presiden
phuji,puji
propinsi,provinsi
tongkrongin,tongkrongan
leader,pemimpin
hate,benci
ngegas,dorong
check,cek
sekrg,sekarang
taggar,tagar
udh,sudah
pdhal,padahal
layan,layanan
indones,indonesia
nyocotnya,mulutnya
nyocot,mulut
ngintil,ikut
ketawain,tawa
serahken,serahkan
ginian,begini
sbntar,sebentar
kepd,kepada
tpi,tapi
mesti,pasti
terdampa,terdampak
ekseku,eksekusi
nyalahin,salah
jelasin,jelas
simple,gampang
materin,materi
shrusnya,seharusnya
luapin,luap
dikit,sedikit
nyadar,sadar
berakal,akal
dijagokan,jago
ujungnya,akhirnya
pentolannya,awalnya
bener,benar
bareng,bersama
nggilani,menjijikkan
mampuslah,mampus
terbodoh,bodoh
diboongi,bohong
melempar,lempar
pemimpinnye,pemimpinnya
mwnyedihkan,menyedihkan
maklumlah,maklum
dipaertahankan,dipertahankan
dpaat,dapat
ketawan,ketahuan
bertanggung,tanggung
menggambarkan,gambar
habisin,selesaikan
time,waktu
naikkan,naik
ogeb,bego
akhirx,akhirnya
mksh,makasih
lobang,lubang
resepan,resap
aernye,airnya
dwatkn,dibuatkan
luaaaarr,luar
terkeren,hebat
ngimpi,mimpi
menghina,hina
manggut,mengerti
uting,petang
angkutin,angkut
pecitraan,pencitraan
kwalitas,kualitas
kwantitas,kuantitas
team,tim
nagkep,tangkap
stinggi,setinggi
kyk,seperti
spy,supaya
pekok,bodoh
plercaya,percaya
bekerjalah,bekerja
belain,bela
dikeringkan,kering
terbukti,bukti
digugling,dicari
accomplished,terselesaikan
positipnya,positifnya
separo,setengah
dpt,dapat
hny,hanya
baek,baik
ngibulnya,mimpinya
benernya,sebenarnya
mendapati,dapat
pemeriksaan,periksa
temuan,temu
memfitnah,fitnah
kedengkian,dengki
horang,orang
jajarannye,jajarannya
nyumbang,sumbang
kesemrawutan,semrawut
cakepnya,indahnya
pemipin,pemimpin
mbedakan,beda
nyinyiran,sindiran
juaraaaa,juara
smuwa,semua
menghancurkan,hancur
memecah,pecah
cemplungin,masuk
nagkap,tangkap
faham,paham
gadeblok,bodoh
fikirnya,pikirnya
dijualin,jual
duitnya,uangnya
tebangin,tebang
agree,setuju
perusaknya,perusak
semkin,semakin lama
ngmonk,bicara
basiiii,basi
ketololannya,tolol
cm,hanya
divpindah,pindah
janj,janji
hashtag,tagar
hashtags,tagar
tman,teman
menebang,tebang
menangani,tangani
terpilih,pilih
nunggu,tunggu
gakbener,tidakbenar
ngaku,akui
ngeselinnnn,kesal
pules,pulas
sbagian,sebagian
ajuuur,hancur
videp,video
rame,ramai
sebagain,sebagian
ditabur,tabur
dituai,tuai
penyiraman,siram
biangkeroknya,biangkerok
ditangkap,tangkap
melindungi,lindungi
hrs,harus
dipunya,punya
dlu,dulu
prthanan,pertahanan
ngara,negara
menanamkan,tanam
kebencian,benci
blokiran,blokir
mankpulatif,manipulatif
smntara,sementara
smkin,semakin
tpt,tepat
hrsnya,harusnya
sbenernya,sebenarnya
psti,pasti
nderek,ikut
thn,tahun
mengatasi,atasi
ready,siap
diomongin,dibicarakan
britanya,beritanya
kirinm,kirim
nduga,duga
tampakkn,tampak
kebodohn,bodoh
hrsny,harusnya
introfeksi,intropeksi
bljr,belajar
orangtuany,orangtua
istriny,istrinya
sj,saja
inget,ingat
adek,adik
nancing,mancing
